sourceMappingKey,Property,Value
pl\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
pt-BR\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
pt\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ro\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
ru\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sk\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sl\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sr-Latn\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
sv\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
th\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
tr\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
uk\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
vi\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
zh-CN\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
zh-TW\highlights_window_add_people,DetailsPanelHeader\AddPeopleButtonTitle,"Add people"
